Organization,CanteenCode,Date,Students,Staff,OtherGuests,Total,EnrolledStudents,Comments
Sala kommun,19,2010-08-04,4,,,4,,
Sala kommun,19,2010-08-05,4,,,4,,
Sala kommun,19,2010-08-06,4,,,4,,
Sala kommun,19,2010-08-07,,,,,,
Sala kommun,19,2010-08-08,,,,,,
Sala kommun,19,2010-08-09,8,,,8,,
Sala kommun,19,2010-08-10,7,,,7,,
Sala kommun,19,2010-08-11,7,,,7,,
Sala kommun,19,2010-08-12,5,,,5,,
Sala kommun,19,2010-08-13,5,,,5,,
Sala kommun,19,2010-08-14,,,,,,
Sala kommun,19,2010-08-15,,,,,,
Sala kommun,19,2010-08-16,11,,,11,,
Sala kommun,19,2010-08-17,10,,,10,,
Sala kommun,19,2010-08-18,14,,,14,,
Sala kommun,19,2010-08-19,12,,,12,,
Sala kommun,19,2010-08-20,10,,,10,,
Sala kommun,19,2010-08-21,,,,,,
Sala kommun,19,2010-08-22,,,,,,
Sala kommun,19,2010-08-23,11,,,11,,
Sala kommun,19,2010-08-24,13,,,13,,
Sala kommun,19,2010-08-25,14,,,14,,
Sala kommun,19,2010-08-26,16,,,16,,
Sala kommun,19,2010-08-27,15,,,15,,
Sala kommun,19,2010-08-28,,,,,,
Sala kommun,19,2010-08-29,,,,,,
Sala kommun,19,2010-08-30,16,,,16,,
Sala kommun,19,2010-08-31,14,,,14,,
Sala kommun,19,2010-09-01,17,,,17,,
Sala kommun,19,2010-09-02,16,,,16,,
Sala kommun,19,2010-09-03,11,,,11,,
Sala kommun,19,2010-09-04,,,,,,
Sala kommun,19,2010-09-05,,,,,,
Sala kommun,19,2010-09-06,16,,,16,,
Sala kommun,19,2010-09-07,15,,,15,,
Sala kommun,19,2010-09-08,16,,,16,,
Sala kommun,19,2010-09-09,12,,,12,,
Sala kommun,19,2010-09-10,13,,,13,,
Sala kommun,19,2010-09-11,,,,,,
Sala kommun,19,2010-09-12,,,,,,
Sala kommun,19,2010-09-13,15,,,15,,
Sala kommun,19,2010-09-14,,,,,,
Sala kommun,19,2010-09-15,13,,,13,,
Sala kommun,19,2010-09-16,15,,,15,,
Sala kommun,19,2010-09-17,13,,,13,,
Sala kommun,19,2010-09-18,,,,,,
Sala kommun,19,2010-09-19,,,,,,
Sala kommun,19,2010-09-20,17,,,17,,
Sala kommun,19,2010-09-21,15,,,15,,
Sala kommun,19,2010-09-22,16,,,16,,
Sala kommun,19,2010-09-23,14,,,14,,
Sala kommun,19,2010-09-24,15,,,15,,
Sala kommun,19,2010-09-25,,,,,,
Sala kommun,19,2010-09-26,13,,,13,,
Sala kommun,19,2010-09-27,10,,,10,,
Sala kommun,19,2010-09-28,13,,,13,,
Sala kommun,19,2010-09-29,12,,,12,,
Sala kommun,19,2010-09-30,,,,,,
Sala kommun,19,2010-10-01,13,,,13,,
Sala kommun,19,2010-10-02,,,,,,
Sala kommun,19,2010-10-03,,,,,,
Sala kommun,19,2010-10-04,17,,,17,,
Sala kommun,19,2010-10-05,11,,,11,,
Sala kommun,19,2010-10-06,14,,,14,,
Sala kommun,19,2010-10-07,12,,,12,,
